0 k.id;1 k.name;2 k.address;3 k.elderate;4 m.name;5 m.surname;6 latitude;7 longitude
190032931;Aitvaras;Pašilaičių g. 10;Pašilaičių;Auginas;Batėnas;54.73031957283682; 25.23131588335099
190019122;Atžalėlės;Antakalnio g. 74;Antakalnio;Odinas;Čepulis;54.70993793961688; 25.312747341023332
190020391;Aušrelė;Gerosios Vilties g. 28;Vilkpėdės;Ervinas;Sibrikas;54.67180826954861; 25.248869556368156
303318623;Ąžuolas;Žirmūnų g. 32;Žirmūnų;Zitas;Uoksas;54.70260546539054; 25.299960998696115
190020434;Bangelė;Žemaitės g. 3;Vilkpėdės;Anastasis;Narmantas;54.673399064202414; 25.251765698695213
190026120;Berželis;Taikos g. 187;Justiniškių;Elvys;Visokinskas;54.713675435801186; 25.21197202753288
190019275;Beržynėlis;Beržyno g. 7A;Naujamiesčio;Aeronimas;Niparas;54.68113323820812; 25.2555543833496
190031797;Bitutė;Paberžės g. 20;Šeškinės;Vaidingas;Pšiulkauskas;54.717255616769414; 25.25495099869659
190021721;Boružėlė;Latvių g. 40;Žvėryno;Eiminas;Daščiaras;54.694771694609145; 25.2468995119264
190015444;Coliukė;A. Kojelavičiaus g. 298;Naujosios Vilnios;Daugvilas;Orkauskis;54.69773628305291; 25.4274792275324
191727213;Daigelis;Dariaus ir Girėno g. 14;Naujininkų;Zanonas;Baliūka;54.634194381210854; 25.272074220591737
190027037;Delfinukas;Vido Maciulevičiaus g. 32;Karoliniškių;Vienalijus;Malakis;54.689321813371585; 25.20233070419159
190018935;Drevinukas;K. Donelaičio g. 12;Naujamiesčio;Banifacas;Pledzevičius;54.68039573792934; 25.25206081280203
190017071;Drugelis;Rinktinės g. 28A;Šnipiškių;Abelis;Cimalonskas;54.69592608924899; 25.286492853286745
190014723;Du gaideliai;Pelesos g. 15;Naujininkų;Abdonas;Gustauskas;54.66574047994994; 25.281141539790394
190019994;Eglutė;Miglos g. 3;Žvėryno;Januaris;Makalaskas;54.70343476171068; 25.247870597462835
190033271;Gabijėlė;Gabijos g. 1;Pašilaičių;Alis;Klimontavičius;54.73246837081096; 25.22670526862939
190033129;Gandriukas;Fabijoniškių g. 7;Fabijoniškių;Alvilas;Kiavnė;54.72709656615655; 25.246497068629072
290031830;Gelvonėlis;Gelvonų g. 1;Šeškinės;Baris;Spudis;54.71540473337481; 25.258538566782498
190012334;Gėlynas;Gėlių g. 9A;Senamiesčio;Nonis;Selvestravičius;54.67380525907276; 25.28236562445032
190012487;Geniukų kalvė;Muitinės g. 30;Naujamiesčio;Dravys;Meštavičius;54.67789155852196; 25.261701810955955
190013589;Gervelė;Dzūkų g. 32;Naujininkų;Edgar;Simonevičius;54.664706903719186; 25.28589093979034
302716948;Giliukas;Minties g. 1;Žirmūnų;Augenis;Dempkauskas;54.70617815519843; 25.30165543979274
190028324;Gilužis;Vydūno g. 11A;Pilaitės;Tamošis;Tutka;54.7059074640938; 25.184248555133244
190029383;Gintarėlis;Didlaukio g. 35;Verkių;Vindaugas;Nortas;54.731521763734314; 25.270967868629334
190025214;Giraitė;Erfurto g. 42;Lazdynų;Bronislov;Krisčiukas;54.674908251941176; 25.205767355131453
304028651;Gluosnis;Justiniškių g. 65;Viršuliškių;Kristupas;Sledziauskas;54.708480341671134; 25.21669921095769
190012715;Gudrutis;Trakų g. 12;Senamiesčio;Salys;Švedaras;54.680420935097665; 25.280331455131776
190033467;Jovarėlis;S. Stanevičiaus g. 21;Fabijoniškių;Danys;Šulokas;54.72278603170942; 25.254897782123486
